City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,53.26,54,40,14.97,scattered clouds
1,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,83,96,8.16,overcast clouds
2,Cape Town,ZA,-33.9258,18.4232,65.91,87,20,5.75,few clouds
3,Nikolskoye,RU,59.7035,30.7861,31.91,86,33,6.04,scattered clouds
4,Cidreira,BR,-30.1811,-50.2056,75.96,78,88,11.05,overcast clouds
5,Airai,TL,-8.9266,125.4092,60.31,90,100,1.03,overcast clouds
6,Cherskiy,RU,68.75,161.3,-15.5,98,100,7.36,overcast clouds
7,Carnot,CF,4.9409,15.8665,75.22,68,63,3.85,broken clouds
8,Caborca,MX,30.5838,-111.101,68.92,42,100,24.02,overcast clouds
9,Biloela,AU,-24.4167,150.5,68.54,71,51,7.14,broken clouds
10,Barrow,US,71.2906,-156.7887,10.42,79,100,10.36,overcast clouds
11,Port Blair,IN,11.6667,92.75,82.44,78,20,2.3,mist
12,Lebu,CL,-37.6167,-73.65,60.82,64,1,14.38,clear sky
13,Aklavik,CA,68.2191,-135.0107,20.52,92,100,7.29,overcast clouds
14,Faanui,PF,-16.4833,-151.75,81.63,78,34,14.92,scattered clouds
15,Albany,US,42.6001,-73.9662,58.06,31,69,8.01,broken clouds
16,Marsh Harbour,BS,26.5412,-77.0636,71.49,58,0,12.37,clear sky
17,Tongchuan,CN,35.0806,109.0897,49.59,54,100,6.98,overcast clouds
18,Izumo,JP,35.3667,132.7667,52.61,89,0,3.87,clear sky
19,Beian,NO,63.6559,9.5683,32.09,64,0,9.22,clear sky
20,Puerto Ayora,EC,-0.7393,-90.3518,89.56,86,61,8.99,light rain
21,Vaini,TO,-21.2,-175.2,75.36,94,40,2.3,scattered clouds
22,Provideniya,RU,64.3833,-173.3,10.62,96,100,11.52,light snow
23,Yerbogachen,RU,61.2767,108.0108,2.07,93,91,7.63,overcast clouds
24,Punta Arenas,CL,-53.15,-70.9167,53.71,62,75,23.02,broken clouds
25,Shelburne,CA,44.0787,-80.2041,37.29,93,100,0.83,overcast clouds
26,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,93,100,7.85,overcast clouds
27,Caravelas,BR,-17.7125,-39.2481,82.6,67,32,8.77,scattered clouds
28,Chuy,UY,-33.6971,-53.4616,72.18,52,97,9.75,overcast clouds
29,Rikitea,PF,-23.1203,-134.9692,79.27,78,100,9.55,light rain
30,Tagab,AF,34.855,69.6492,56.66,60,0,3.58,clear sky
31,Hobart,AU,-42.8794,147.3294,56.05,82,75,6.91,broken clouds
32,Klaksvik,FO,62.2266,-6.589,43.72,98,100,24.65,light rain
33,Avarua,CK,-21.2078,-159.775,82.45,78,20,4.61,few clouds
34,Port Hedland,AU,-20.3167,118.5667,82.45,69,93,5.75,overcast clouds
35,Busselton,AU,-33.65,115.3333,64.69,82,100,13.49,overcast clouds
36,Atuona,PF,-9.8,-139.0333,80.69,63,0,13.47,clear sky
37,Saint-Philippe,RE,-21.3585,55.7679,78.39,88,91,9.22,overcast clouds
38,Ladario,BR,-19.0047,-57.6017,80.69,89,75,8.05,broken clouds
