City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Shihezi,CN,44.3,86.0333,35.04,39,0,5.39,clear sky
1,Rikitea,PF,-23.1203,-134.9692,79.72,77,65,15.1,broken clouds
2,Buzmeyin,TM,38.0507,58.2056,56.93,41,100,6.91,light intensity shower rain
3,Sambava,MG,-14.2667,50.1667,76.44,86,98,5.7,light rain
4,Bandarbeyla,SO,9.4942,50.8122,80.65,87,20,9.6,few clouds
5,Kapaa,US,22.0752,-159.319,80.92,75,0,5.75,light rain
6,Ciudad Valles,MX,21.9833,-99.0167,70.21,78,0,4.18,clear sky
7,San Jose,US,37.3394,-121.895,48.56,82,100,16.11,moderate rain
8,Sabha,LY,27.0377,14.4283,64.47,41,38,13.06,scattered clouds
9,Bethel,US,41.3712,-73.414,48.49,49,0,0.0,clear sky
10,Basco,PH,20.4487,121.9702,77.56,75,46,11.77,scattered clouds
11,Rudnichnyy,RU,59.617,52.4703,32.81,97,100,13.06,light snow
12,Te Anau,NZ,-45.4167,167.7167,57.54,49,77,3.11,broken clouds
13,Taksimo,RU,56.3444,114.8794,5.97,59,93,3.51,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,53.62,60,96,6.69,overcast clouds
15,Playa Del Carmen,MX,20.6274,-87.0799,76.01,83,20,4.61,few clouds
16,Port Alfred,ZA,-33.5906,26.891,63.73,82,42,8.86,scattered clouds
17,Coahuayana,MX,18.7333,-103.6833,72.32,83,0,1.5,clear sky
18,Kodiak,US,57.79,-152.4072,33.31,80,100,9.22,light snow
19,Lagoa,PT,39.05,-27.9833,59.4,88,100,16.26,overcast clouds
20,Jamestown,US,42.097,-79.2353,40.64,59,0,3.44,clear sky
21,Ancud,CL,-41.8697,-73.8203,48.87,88,0,3.38,clear sky
22,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,86,75,8.05,broken clouds
23,Provideniya,RU,64.3833,-173.3,6.91,78,100,15.99,light snow
24,Hermanus,ZA,-34.4187,19.2345,63.81,88,100,5.61,overcast clouds
25,Mar Del Plata,AR,-38.0023,-57.5575,67.95,76,40,5.99,scattered clouds
26,Gandai,IN,21.6667,81.1,77.0,52,75,3.24,broken clouds
27,Isangel,VU,-19.55,169.2667,86.11,74,75,9.22,broken clouds
28,Port Elizabeth,ZA,-33.918,25.5701,64.69,88,0,6.91,clear sky
29,Atuona,PF,-9.8,-139.0333,80.29,71,2,11.88,clear sky
30,Longyearbyen,SJ,78.2186,15.6401,1.24,66,40,2.3,scattered clouds
31,Beringovskiy,RU,63.05,179.3167,0.77,81,78,18.81,broken clouds
32,Tasiilaq,GL,65.6145,-37.6368,12.36,54,12,4.14,few clouds
33,Colesberg,ZA,-30.72,25.0972,61.16,58,33,1.59,scattered clouds
34,Izumo,JP,35.3667,132.7667,64.29,68,0,2.3,clear sky
35,Araouane,ML,18.9048,-3.5265,68.56,24,0,6.11,clear sky
36,Kavaratti,IN,10.5669,72.642,81.86,62,92,13.71,overcast clouds
37,Cape Town,ZA,-33.9258,18.4232,63.01,90,0,6.91,clear sky
38,Barrow,US,71.2906,-156.7887,12.22,79,0,8.05,clear sky
39,Mayo,US,38.8876,-76.5119,51.13,60,0,10.36,clear sky
40,Rocha,UY,-34.4833,-54.3333,60.03,68,100,3.74,overcast clouds
41,Punta Arenas,CL,-53.15,-70.9167,50.11,66,20,36.82,few clouds
42,Bilibino,RU,68.0546,166.4372,-15.03,83,100,7.99,overcast clouds
43,Puerto Ayora,EC,-0.7393,-90.3518,80.55,92,33,3.0,scattered clouds
44,Saldanha,ZA,-33.0117,17.9442,59.05,87,67,7.96,broken clouds
45,Antofagasta,CL,-23.65,-70.4,70.88,79,8,1.12,clear sky
46,Manaure,CO,11.7751,-72.4445,77.74,76,62,15.26,broken clouds
47,San Cristobal,VE,7.7669,-72.225,68.18,78,99,1.45,overcast clouds
48,Dikson,RU,73.5069,80.5464,10.49,96,100,10.89,light snow
49,Bluff,NZ,-46.6,168.3333,53.73,63,100,12.93,overcast clouds
50,Mahebourg,MU,-20.4081,57.7,77.29,83,20,1.14,few clouds
51,Taoudenni,ML,22.6783,-3.9836,72.27,30,0,9.33,clear sky
52,Hithadhoo,MV,-0.6,73.0833,82.89,73,100,8.19,overcast clouds
53,Pringsewu,ID,-5.3582,104.9744,86.58,65,71,2.73,broken clouds
54,Gavrilovka Vtoraya,RU,52.877,42.7663,34.72,82,18,6.71,few clouds
55,Geraldton,AU,-28.7667,114.6,79.21,69,100,4.61,overcast clouds
56,Yellowknife,CA,62.456,-114.3525,12.72,57,20,11.5,few clouds
57,Salinopolis,BR,-0.6136,-47.3561,75.99,88,99,1.36,moderate rain
58,Grindavik,IS,63.8424,-22.4338,37.35,80,100,19.57,light snow
59,Cabedelo,BR,-6.9811,-34.8339,77.67,86,97,11.36,overcast clouds
60,Christchurch,NZ,-43.5333,172.6333,59.47,78,75,21.85,broken clouds
61,Nang Rong,TH,14.6377,102.7914,93.13,38,0,5.95,clear sky
